part_id,material,feed_rate,cutting_speed,depth_of_cut,tool_nose_radius,tool_wear_time,surface_roughness_ra
953,Stainless_304,0.16,121.4,1.157,0.4,27.4,4.688
954,Aluminum_6061,0.123,344.2,2.917,0.8,19.4,0.715
955,Carbon_Steel_1045,0.473,118.3,1.556,0.2,43.6,72.104
956,Stainless_304,0.45,121.0,1.273,0.8,22.1,16.748
957,Carbon_Steel_1045,0.4,307.6,2.101,1.2,10.2,5.38
958,Aluminum_6061,0.283,122.9,2.039,1.2,19.3,2.554
959,Carbon_Steel_1045,0.271,158.3,0.257,0.4,52.6,11.984
960,Aluminum_6061,0.288,264.4,1.951,0.4,17.0,7.122
961,Aluminum_6061,0.291,97.6,0.92,0.4,14.1,8.244
962,Aluminum_6061,0.246,97.7,1.282,1.2,8.0,1.838
963,Stainless_304,0.109,195.9,2.192,1.2,3.3,0.593
964,Aluminum_6061,0.107,123.1,1.783,0.8,58.6,0.868
965,Carbon_Steel_1045,0.479,120.7,1.264,1.2,32.2,10.991
966,Stainless_304,0.267,52.8,0.71,0.2,43.8,32.186
967,Stainless_304,0.479,161.1,1.64,1.2,46.4,17.405
968,Carbon_Steel_1045,0.124,145.5,1.128,1.2,21.1,0.608
969,Carbon_Steel_1045,0.299,59.3,2.761,0.8,47.9,7.922
970,Aluminum_6061,0.143,236.4,1.719,0.8,57.7,1.326
971,Carbon_Steel_1045,0.164,238.0,2.631,1.2,44.5,1.388
972,Aluminum_6061,0.064,71.2,1.323,0.8,42.7,0.262
973,Aluminum_6061,0.104,145.1,2.525,1.2,25.9,0.39
974,Aluminum_6061,0.463,311.8,0.405,0.2,50.5,47.367
975,Carbon_Steel_1045,0.195,224.7,1.07,0.8,5.3,1.745
976,Aluminum_6061,0.324,173.6,0.465,0.4,45.0,13.443
977,Aluminum_6061,0.259,189.5,0.337,1.2,21.7,1.816
978,Stainless_304,0.23,112.5,2.777,1.2,34.0,4.45
979,Aluminum_6061,0.289,293.6,2.221,1.2,53.6,3.502
980,Carbon_Steel_1045,0.134,324.2,1.969,0.2,36.3,4.97
981,Carbon_Steel_1045,0.495,323.2,1.714,0.4,1.5,21.312
982,Carbon_Steel_1045,0.418,117.2,1.816,0.2,43.4,50.134
983,Aluminum_6061,0.384,143.2,2.006,1.2,55.7,6.425
984,Aluminum_6061,0.261,98.2,2.523,0.4,38.5,8.764
985,Stainless_304,0.119,142.2,1.891,0.8,51.7,1.768
986,Carbon_Steel_1045,0.464,149.8,2.309,0.4,49.5,32.812
987,Aluminum_6061,0.204,239.9,1.023,1.2,51.7,1.55
988,Aluminum_6061,0.073,106.9,2.936,1.2,20.6,0.199
989,Carbon_Steel_1045,0.204,325.8,0.338,1.2,28.4,1.616
990,Aluminum_6061,0.408,80.9,1.313,0.8,50.9,12.572
991,Carbon_Steel_1045,0.33,52.1,2.676,0.2,54.6,43.126
992,Carbon_Steel_1045,0.388,306.5,0.746,1.2,8.8,4.034
993,Carbon_Steel_1045,0.407,261.1,0.639,0.2,10.9,32.994
994,Stainless_304,0.145,156.6,1.255,0.4,20.8,3.863
995,Carbon_Steel_1045,0.466,228.6,1.428,0.4,46.2,31.049
996,Stainless_304,0.247,117.1,2.817,0.4,52.5,14.049
997,Carbon_Steel_1045,0.338,100.5,2.549,1.2,34.8,5.923
998,Carbon_Steel_1045,0.051,191.3,1.526,0.2,6.8,0.533
999,Carbon_Steel_1045,0.497,156.0,2.926,0.8,18.2,15.384
1000,Carbon_Steel_1045,0.176,234.6,2.016,0.2,51.4,10.989
1001,Aluminum_6061,0.078,115.4,2.653,1.2,20.9,0.238
1002,Stainless_304,0.256,248.9,0.927,0.8,6.2,4.113
1003,Stainless_304,0.108,280.1,1.595,0.4,18.1,1.46
1004,Aluminum_6061,0.119,100.0,0.332,0.2,48.4,3.496
1005,Carbon_Steel_1045,0.335,63.2,0.274,0.2,29.6,31.548
1006,Stainless_304,0.227,181.9,2.19,0.2,10.3,14.151
1007,Stainless_304,0.465,282.2,0.575,0.4,18.8,30.678
1008,Carbon_Steel_1045,0.194,245.2,1.756,1.2,57.2,2.064
1009,Aluminum_6061,0.377,260.6,2.164,0.2,25.9,24.37
1010,Carbon_Steel_1045,0.257,170.9,0.339,0.8,26.5,4.272
1011,Aluminum_6061,0.347,120.5,1.484,0.4,9.2,10.71
1012,Carbon_Steel_1045,0.32,209.5,2.131,0.2,18.3,24.463
1013,Carbon_Steel_1045,0.263,111.3,2.697,0.8,48.9,6.659
1014,Carbon_Steel_1045,0.478,267.9,1.073,0.8,47.2,15.281
1015,Aluminum_6061,0.204,109.1,2.929,1.2,26.1,1.821
1016,Carbon_Steel_1045,0.13,137.4,2.572,0.8,53.6,1.507
1017,Carbon_Steel_1045,0.355,202.0,2.039,0.4,22.8,17.453
1018,Aluminum_6061,0.431,196.0,1.328,1.2,51.9,7.263
1019,Aluminum_6061,0.068,230.3,2.206,0.2,1.9,0.772
1020,Aluminum_6061,0.252,181.2,2.495,0.8,20.8,2.957
1021,Stainless_304,0.452,325.8,1.084,1.2,51.3,16.244
1022,Carbon_Steel_1045,0.387,302.0,2.98,0.2,54.1,45.333
1023,Carbon_Steel_1045,0.496,313.7,2.749,1.2,45.4,13.319
1024,Carbon_Steel_1045,0.289,238.9,1.585,0.2,40.2,22.65
1025,Stainless_304,0.347,240.5,2.238,0.4,48.9,26.761
1026,Carbon_Steel_1045,0.186,232.8,1.691,0.4,42.5,4.962
1027,Aluminum_6061,0.476,180.5,2.343,0.2,15.3,38.636
1028,Aluminum_6061,0.215,146.6,2.524,0.8,28.0,2.074
1029,Aluminum_6061,0.382,227.6,0.314,0.4,39.6,18.742
1030,Stainless_304,0.231,57.7,0.468,0.8,35.3,5.797
1031,Carbon_Steel_1045,0.303,52.2,1.175,0.4,53.1,14.243
1032,Stainless_304,0.374,305.5,2.773,0.8,28.4,12.281
1033,Carbon_Steel_1045,0.279,63.9,1.345,1.2,10.7,3.419
1034,Stainless_304,0.458,207.4,2.691,0.8,12.9,14.97
1035,Stainless_304,0.239,234.5,1.522,0.2,50.8,22.268
1036,Carbon_Steel_1045,0.341,109.5,1.044,0.4,0.5,11.382
1037,Aluminum_6061,0.204,318.7,2.727,0.4,52.1,5.782
1038,Aluminum_6061,0.234,107.0,1.792,0.2,3.3,9.357
1039,Carbon_Steel_1045,0.248,315.4,1.241,0.2,23.5,15.431
1040,Stainless_304,0.107,278.9,0.372,0.2,48.0,4.63
1041,Carbon_Steel_1045,0.091,122.2,0.555,1.2,24.5,0.346
1042,Aluminum_6061,0.35,95.2,0.633,0.4,49.3,14.695
1043,Carbon_Steel_1045,0.345,144.9,1.253,1.2,6.0,3.963
1044,Carbon_Steel_1045,0.348,169.4,1.92,0.8,30.7,8.655
1045,Aluminum_6061,0.059,123.7,1.096,0.8,34.9,0.202
1046,Stainless_304,0.197,349.7,0.43,1.2,53.5,2.593
1047,Carbon_Steel_1045,0.139,118.9,0.978,0.8,5.6,1.071
1048,Aluminum_6061,0.4,299.2,1.374,0.2,20.3,29.136
1049,Aluminum_6061,0.437,97.7,2.979,0.4,39.6,25.911
1050,Carbon_Steel_1045,0.161,344.1,1.331,0.8,58.8,2.088
1051,Carbon_Steel_1045,0.351,117.7,0.495,0.2,50.9,48.347
1052,Aluminum_6061,0.108,176.5,1.848,0.2,50.8,2.715
1053,Carbon_Steel_1045,0.174,217.6,2.779,0.2,31.0,8.6
1054,Carbon_Steel_1045,0.112,86.1,2.413,0.8,33.9,1.192
1055,Aluminum_6061,0.178,295.0,2.55,0.4,51.5,3.603
1056,Carbon_Steel_1045,0.354,132.4,2.803,0.2,52.2,49.327
1057,Carbon_Steel_1045,0.46,214.8,2.0,0.8,48.1,17.978
1058,Aluminum_6061,0.141,214.9,2.986,0.8,49.1,1.162
1059,Aluminum_6061,0.294,230.8,0.342,0.8,52.8,5.387
1060,Aluminum_6061,0.366,66.6,2.546,0.2,6.8,26.105
1061,Carbon_Steel_1045,0.479,100.6,2.607,1.2,17.6,10.214
1062,Stainless_304,0.325,98.4,2.771,0.2,58.6,55.962
1063,Carbon_Steel_1045,0.165,140.6,1.565,0.8,32.7,2.141
1064,Stainless_304,0.331,93.5,2.416,0.8,10.6,9.087
1065,Carbon_Steel_1045,0.194,326.6,0.786,0.2,30.2,8.485
1066,Carbon_Steel_1045,0.489,203.9,1.909,0.4,38.7,33.102
1067,Carbon_Steel_1045,0.23,237.1,1.236,0.2,49.7,15.367
1068,Stainless_304,0.358,157.2,1.889,0.4,48.7,26.109
1069,Stainless_304,0.06,132.9,2.108,0.8,3.0,0.245
1070,Carbon_Steel_1045,0.23,201.0,1.204,0.4,27.2,6.604
1071,Carbon_Steel_1045,0.444,138.3,0.845,0.8,1.2,9.553
1072,Stainless_304,0.325,153.1,1.135,1.2,53.3,8.626
1073,Stainless_304,0.25,185.8,2.076,0.2,10.4,18.436
1074,Stainless_304,0.471,201.7,2.111,0.4,37.5,41.33
1075,Aluminum_6061,0.434,345.3,2.289,0.2,34.2,36.215
1076,Aluminum_6061,0.195,117.0,0.598,0.8,37.5,2.285
1077,Carbon_Steel_1045,0.295,196.4,2.501,0.2,33.8,24.381
1078,Carbon_Steel_1045,0.27,94.9,2.142,1.2,42.9,4.182
1079,Aluminum_6061,0.334,155.0,0.334,0.4,37.6,12.573
1080,Carbon_Steel_1045,0.2,265.2,1.173,0.8,5.4,1.9
1081,Carbon_Steel_1045,0.16,102.3,1.533,0.2,22.0,6.999
1082,Aluminum_6061,0.461,224.4,1.242,0.4,32.8,21.586
1083,Carbon_Steel_1045,0.466,175.0,0.573,0.2,19.5,45.827
1084,Aluminum_6061,0.429,65.5,0.82,0.8,45.6,12.347
1085,Stainless_304,0.49,329.9,0.318,0.2,19.1,69.97
1086,Aluminum_6061,0.385,174.1,0.506,0.2,49.7,34.83
1087,Carbon_Steel_1045,0.394,285.2,0.982,0.8,8.8,6.505
1088,Carbon_Steel_1045,0.393,174.9,2.505,0.8,46.2,13.741
1089,Aluminum_6061,0.266,331.2,1.698,0.4,11.0,5.143
1090,Carbon_Steel_1045,0.255,137.1,1.417,0.4,31.7,9.169
1091,Stainless_304,0.158,173.7,2.071,0.4,19.2,4.247
1092,Carbon_Steel_1045,0.34,277.7,1.739,1.2,38.2,5.21
1093,Aluminum_6061,0.18,153.1,0.612,0.4,12.8,2.27
1094,Carbon_Steel_1045,0.166,159.3,0.862,1.2,47.7,1.463
1095,Aluminum_6061,0.314,348.4,0.862,0.2,34.4,21.271
1096,Carbon_Steel_1045,0.234,216.7,1.9,0.2,57.4,19.554
1097,Carbon_Steel_1045,0.148,256.8,1.519,0.4,42.7,2.619
1098,Carbon_Steel_1045,0.417,243.0,1.316,0.2,36.4,54.671
1099,Aluminum_6061,0.437,298.4,1.781,0.8,49.7,10.236
1100,Aluminum_6061,0.125,308.5,2.918,0.4,13.2,1.239
1101,Aluminum_6061,0.053,219.0,1.114,0.4,38.0,0.328
1102,Carbon_Steel_1045,0.201,138.4,1.681,0.8,23.4,2.727
1103,Carbon_Steel_1045,0.409,56.8,1.571,0.2,44.6,62.01
1104,Carbon_Steel_1045,0.428,234.3,2.221,0.4,1.5,16.063
1105,Aluminum_6061,0.112,297.6,2.258,1.2,25.7,0.451
1106,Aluminum_6061,0.398,185.2,2.255,0.8,39.1,9.408
1107,Carbon_Steel_1045,0.102,99.4,0.804,0.8,27.6,0.635
1108,Carbon_Steel_1045,0.226,136.4,1.485,0.8,14.3,3.252
1109,Stainless_304,0.499,203.0,2.481,0.4,27.9,45.268
1110,Aluminum_6061,0.137,301.0,1.299,1.2,51.0,0.799
1111,Aluminum_6061,0.119,101.5,2.957,1.2,12.4,0.508
1112,Carbon_Steel_1045,0.24,233.6,1.253,0.4,22.0,7.987
1113,Carbon_Steel_1045,0.329,276.0,1.619,1.2,59.4,5.679
1114,Carbon_Steel_1045,0.47,330.8,1.555,0.2,54.8,67.108
1115,Aluminum_6061,0.491,85.0,1.443,0.4,2.0,21.813
1116,Aluminum_6061,0.081,327.9,2.575,0.4,31.8,0.668
1117,Carbon_Steel_1045,0.112,230.4,0.677,0.8,3.9,0.593
1118,Aluminum_6061,0.406,280.0,1.811,0.8,55.4,8.199
1119,Carbon_Steel_1045,0.172,66.1,1.951,0.4,26.5,4.515
1120,Aluminum_6061,0.448,201.8,2.591,0.4,25.1,20.569
1121,Aluminum_6061,0.349,236.8,1.925,0.8,16.4,5.301
1122,Aluminum_6061,0.1,142.1,2.89,0.4,34.1,1.149
1123,Stainless_304,0.425,179.5,2.648,0.4,8.7,28.385
1124,Aluminum_6061,0.129,216.3,1.209,0.4,47.9,1.918
1125,Aluminum_6061,0.241,215.8,2.615,1.2,29.5,2.099
1126,Stainless_304,0.298,62.6,2.886,0.8,34.0,10.496
1127,Aluminum_6061,0.275,181.8,0.957,0.2,50.4,19.571
1128,Aluminum_6061,0.359,114.1,1.928,1.2,11.1,4.521
1129,Aluminum_6061,0.344,325.0,1.025,0.8,10.5,4.52
1130,Carbon_Steel_1045,0.496,343.0,2.036,0.4,25.2,30.891
1131,Carbon_Steel_1045,0.5,139.9,0.508,0.8,47.2,19.511
1132,Stainless_304,0.282,102.6,2.269,0.2,3.5,22.703
1133,Carbon_Steel_1045,0.093,115.9,1.405,0.2,47.7,2.863
1134,Carbon_Steel_1045,0.378,193.3,1.865,0.4,30.0,18.448
1135,Aluminum_6061,0.489,312.4,0.321,1.2,33.7,7.936
1136,Stainless_304,0.193,200.0,2.162,0.4,33.9,7.057
1137,Stainless_304,0.258,66.6,1.614,0.4,3.4,9.557
1138,Stainless_304,0.241,62.0,1.969,1.2,15.0,3.503
1139,Aluminum_6061,0.073,118.2,1.118,1.2,45.3,0.204
1140,Carbon_Steel_1045,0.353,302.8,0.651,0.4,24.7,13.507
1141,Carbon_Steel_1045,0.209,236.4,1.447,0.2,33.6,11.377
1142,Stainless_304,0.404,218.9,2.846,0.8,56.7,22.09
1143,Aluminum_6061,0.424,145.7,0.876,0.8,2.8,7.649
1144,Stainless_304,0.42,328.8,2.109,1.2,27.0,8.773
1145,Carbon_Steel_1045,0.237,149.4,0.387,1.2,21.7,2.249
1146,Stainless_304,0.195,300.5,2.225,0.8,6.4,2.482
1147,Carbon_Steel_1045,0.387,318.8,0.906,0.2,57.0,44.212
1148,Stainless_304,0.411,195.0,1.492,0.2,57.7,74.998
1149,Carbon_Steel_1045,0.271,318.3,1.261,0.8,18.7,3.772
1150,Aluminum_6061,0.452,133.0,0.56,0.8,56.8,16.084
1151,Carbon_Steel_1045,0.115,247.5,1.2,0.4,2.1,1.116
1152,Stainless_304,0.446,76.4,1.213,0.4,58.9,53.946
1153,Aluminum_6061,0.093,192.2,1.686,0.8,50.2,0.451
1154,Carbon_Steel_1045,0.119,115.2,2.924,0.4,12.9,1.903
1155,Stainless_304,0.29,68.8,1.543,0.2,36.0,41.333
1156,Stainless_304,0.08,51.1,2.765,1.2,47.9,0.544
1157,Carbon_Steel_1045,0.074,147.4,1.519,0.4,19.2,0.634
1158,Stainless_304,0.05,226.9,0.546,0.4,21.2,0.388
1159,Aluminum_6061,0.246,186.6,0.883,0.2,37.7,13.328
1160,Carbon_Steel_1045,0.399,140.5,1.371,0.4,8.8,17.623
1161,Carbon_Steel_1045,0.066,347.4,1.145,1.2,7.1,0.126
1162,Stainless_304,0.344,331.9,2.631,0.2,15.0,39.72
1163,Aluminum_6061,0.42,87.7,2.116,0.2,44.5,47.508
1164,Aluminum_6061,0.126,174.5,1.84,0.2,22.0,3.864
1165,Carbon_Steel_1045,0.116,244.7,1.601,0.2,30.4,3.762
1166,Carbon_Steel_1045,0.437,270.0,1.342,0.8,11.7,10.156
1167,Stainless_304,0.42,159.9,1.934,0.4,11.6,24.426
1168,Carbon_Steel_1045,0.293,273.9,0.593,1.2,39.0,3.95
1169,Stainless_304,0.419,87.2,0.697,0.4,6.5,27.05
1170,Carbon_Steel_1045,0.092,149.5,1.084,0.8,40.1,0.523
1171,Stainless_304,0.228,264.9,0.721,0.2,24.0,13.956
1172,Carbon_Steel_1045,0.382,237.7,2.112,0.4,40.3,21.51
1173,Aluminum_6061,0.166,301.2,0.318,0.4,22.9,2.315
1174,Aluminum_6061,0.389,64.1,0.69,0.2,50.8,42.449
1175,Stainless_304,0.277,102.3,2.732,0.4,3.3,12.629
1176,Aluminum_6061,0.388,64.5,2.993,0.4,53.6,23.439
1177,Carbon_Steel_1045,0.259,107.6,1.591,0.4,16.1,8.048
1178,Aluminum_6061,0.216,51.3,1.612,0.8,2.6,2.053
1179,Stainless_304,0.149,201.3,2.377,1.2,33.7,1.448
1180,Aluminum_6061,0.144,208.5,0.35,1.2,13.5,0.482
1181,Carbon_Steel_1045,0.388,247.4,1.424,0.2,27.6,35.146
1182,Carbon_Steel_1045,0.104,165.5,0.525,0.8,48.1,0.706
1183,Aluminum_6061,0.089,51.0,1.353,1.2,47.5,0.388
1184,Carbon_Steel_1045,0.129,252.2,2.956,1.2,36.0,0.838
1185,Stainless_304,0.129,66.3,2.322,0.4,58.7,5.015
1186,Carbon_Steel_1045,0.42,309.9,2.959,1.2,27.8,7.064
1187,Stainless_304,0.229,56.8,2.302,1.2,2.4,2.923
1188,Stainless_304,0.496,209.1,1.922,0.4,49.2,51.28
1189,Carbon_Steel_1045,0.112,318.5,2.324,1.2,13.3,0.483
1190,Carbon_Steel_1045,0.344,221.7,2.063,0.8,10.6,6.113
1191,Stainless_304,0.252,232.5,1.526,1.2,4.2,2.085
1192,Carbon_Steel_1045,0.227,254.5,1.055,0.8,19.7,3.005
1193,Carbon_Steel_1045,0.444,86.7,1.68,1.2,19.6,8.539
1194,Stainless_304,0.489,252.5,0.961,1.2,18.2,11.21
1195,Stainless_304,0.443,314.1,1.588,1.2,35.6,11.67
1196,Carbon_Steel_1045,0.137,342.3,0.652,0.4,45.1,2.215
1197,Aluminum_6061,0.149,182.9,1.805,0.8,56.3,1.521
1198,Carbon_Steel_1045,0.345,153.4,0.925,0.8,5.6,6.128
1199,Carbon_Steel_1045,0.18,276.0,1.057,1.2,9.0,1.05
1200,Carbon_Steel_1045,0.381,212.9,1.622,0.4,35.4,18.764
1201,Carbon_Steel_1045,0.305,127.2,0.697,0.4,5.9,10.179
1202,Carbon_Steel_1045,0.298,101.6,2.897,0.8,22.2,5.876
1203,Aluminum_6061,0.423,101.1,1.479,1.2,37.5,7.132
1204,Carbon_Steel_1045,0.37,187.8,1.219,1.2,46.8,6.822
1205,Carbon_Steel_1045,0.062,101.0,0.33,0.2,13.1,0.893
1206,Stainless_304,0.072,55.9,2.569,1.2,40.1,0.425
1207,Aluminum_6061,0.321,65.6,1.971,1.2,38.8,5.281
1208,Stainless_304,0.269,329.0,1.395,0.2,51.6,29.314
1209,Aluminum_6061,0.167,71.9,0.925,0.2,18.8,5.964
1210,Stainless_304,0.238,72.0,2.299,0.2,45.0,29.028
1211,Stainless_304,0.391,185.4,2.85,1.2,45.1,11.781
1212,Aluminum_6061,0.422,123.5,1.297,1.2,14.4,5.664
1213,Stainless_304,0.303,338.8,0.621,0.8,37.3,6.616
1214,Carbon_Steel_1045,0.223,323.3,0.55,0.8,40.5,3.479
1215,Carbon_Steel_1045,0.172,171.4,0.267,0.4,16.5,3.199
1216,Stainless_304,0.285,184.6,2.296,1.2,27.1,5.095
1217,Stainless_304,0.192,162.5,2.949,0.2,26.1,13.232
1218,Carbon_Steel_1045,0.304,61.4,2.98,0.4,46.4,15.797
1219,Stainless_304,0.354,137.9,2.407,0.2,0.0,28.158
1220,Aluminum_6061,0.08,86.8,0.696,1.2,30.1,0.227
1221,Aluminum_6061,0.05,80.7,2.939,0.8,11.1,0.139
1222,Aluminum_6061,0.146,218.3,1.151,0.8,38.8,1.284
1223,Aluminum_6061,0.453,79.6,1.167,1.2,40.8,9.302
1224,Carbon_Steel_1045,0.341,80.9,2.14,0.2,30.1,33.417
1225,Aluminum_6061,0.127,194.2,0.385,1.2,32.5,0.512
1226,Carbon_Steel_1045,0.451,182.7,2.521,0.2,18.9,55.257
1227,Aluminum_6061,0.261,91.3,2.993,1.2,18.8,2.315
1228,Carbon_Steel_1045,0.264,51.3,2.381,0.8,44.7,8.018
1229,Carbon_Steel_1045,0.471,107.9,2.4,1.2,7.9,9.995
1230,Aluminum_6061,0.077,120.8,1.323,0.2,46.3,1.835
1231,Carbon_Steel_1045,0.147,290.1,0.431,1.2,39.3,0.942
1232,Stainless_304,0.314,324.6,2.43,1.2,53.1,6.734
1233,Carbon_Steel_1045,0.138,171.8,1.892,0.2,15.6,4.511
1234,Stainless_304,0.356,171.5,2.751,0.8,30.4,12.996
1235,Stainless_304,0.146,263.7,0.569,1.2,2.3,0.772
1236,Aluminum_6061,0.095,238.1,1.089,0.4,54.8,1.015
1237,Carbon_Steel_1045,0.143,105.2,1.242,0.4,40.5,3.182
1238,Aluminum_6061,0.24,82.3,2.129,0.4,37.4,7.28
1239,Carbon_Steel_1045,0.129,181.3,2.416,0.8,44.0,1.45
1240,Carbon_Steel_1045,0.111,219.4,2.893,1.2,17.1,0.457
1241,Carbon_Steel_1045,0.437,91.6,1.062,0.8,36.2,14.902
1242,Stainless_304,0.194,138.0,1.608,0.8,48.1,4.539
1243,Carbon_Steel_1045,0.212,141.8,0.33,1.2,5.4,1.61
1244,Stainless_304,0.075,128.4,0.946,1.2,57.5,0.449
1245,Carbon_Steel_1045,0.211,188.2,1.279,0.4,53.5,7.363
1246,Aluminum_6061,0.169,245.9,1.883,1.2,57.8,1.154
1247,Aluminum_6061,0.325,202.8,1.545,0.4,48.5,14.097
1248,Carbon_Steel_1045,0.142,110.4,1.252,0.8,17.7,1.391
1249,Carbon_Steel_1045,0.45,80.9,1.966,0.4,34.9,28.376
1250,Aluminum_6061,0.468,296.6,2.529,1.2,7.2,6.595
1251,Carbon_Steel_1045,0.095,193.8,0.915,0.8,45.3,0.623
1252,Aluminum_6061,0.098,68.6,1.193,0.8,9.2,0.487
1253,Carbon_Steel_1045,0.102,127.4,2.189,0.4,52.0,1.859
1254,Carbon_Steel_1045,0.329,291.2,2.389,0.8,14.4,5.758
1255,Aluminum_6061,0.105,275.5,2.52,1.2,9.6,0.294
1256,Aluminum_6061,0.434,312.7,0.826,0.4,4.3,11.951
1257,Aluminum_6061,0.389,230.6,1.733,1.2,42.7,6.094
1258,Carbon_Steel_1045,0.419,176.9,2.725,0.4,11.2,19.33
1259,Stainless_304,0.287,178.0,1.328,0.2,11.9,21.242
1260,Aluminum_6061,0.499,108.2,1.432,0.8,10.2,10.469
1261,Carbon_Steel_1045,0.07,245.2,2.958,0.8,18.3,0.26
1262,Carbon_Steel_1045,0.231,225.5,0.561,0.4,56.5,7.854
1263,Carbon_Steel_1045,0.196,96.5,2.19,0.8,29.2,3.008
1264,Aluminum_6061,0.477,315.7,2.588,0.8,15.7,9.335
1265,Aluminum_6061,0.31,160.5,0.665,1.2,10.2,2.834
1266,Stainless_304,0.413,64.9,2.215,1.2,1.1,8.637
1267,Stainless_304,0.127,148.4,1.542,1.2,21.9,0.883
1268,Carbon_Steel_1045,0.49,311.0,2.595,0.4,6.6,23.329
1269,Carbon_Steel_1045,0.274,325.1,2.745,0.2,1.6,15.234
1270,Aluminum_6061,0.272,197.1,2.649,0.2,6.2,10.952
1271,Aluminum_6061,0.487,336.9,0.427,0.8,19.1,10.954
1272,Aluminum_6061,0.221,312.6,2.331,0.8,45.1,3.086
1273,Carbon_Steel_1045,0.229,297.6,2.784,0.8,4.0,2.478
1274,Aluminum_6061,0.313,307.9,1.959,0.2,40.7,23.793
1275,Aluminum_6061,0.108,164.6,1.902,0.8,37.2,0.662
1276,Aluminum_6061,0.194,276.9,0.374,1.2,52.9,1.485
1277,Aluminum_6061,0.137,223.2,2.604,0.8,11.0,0.773
1278,Carbon_Steel_1045,0.096,265.9,0.378,0.8,47.7,0.695
1279,Carbon_Steel_1045,0.44,103.3,1.112,0.2,51.9,64.018
1280,Carbon_Steel_1045,0.315,269.4,2.796,0.4,58.6,16.833
1281,Carbon_Steel_1045,0.211,337.3,2.862,0.8,48.5,3.607
1282,Carbon_Steel_1045,0.234,140.8,2.978,0.8,7.4,3.365
1283,Stainless_304,0.244,345.8,1.56,0.8,56.8,5.795
1284,Aluminum_6061,0.335,163.5,0.738,0.8,48.9,7.347
1285,Aluminum_6061,0.467,109.9,1.592,0.8,12.7,9.583
1286,Stainless_304,0.47,83.7,0.531,0.4,9.9,28.548
1287,Carbon_Steel_1045,0.226,285.5,2.649,0.8,56.2,3.963
1288,Carbon_Steel_1045,0.198,216.4,1.791,0.4,9.3,4.272
1289,Aluminum_6061,0.253,142.1,1.362,0.4,46.6,8.182
1290,Aluminum_6061,0.306,232.5,0.469,0.4,24.3,8.07
1291,Aluminum_6061,0.258,149.6,1.364,0.8,43.4,4.113
1292,Stainless_304,0.346,184.5,2.632,1.2,5.5,5.588
1293,Carbon_Steel_1045,0.299,308.8,2.184,0.8,43.5,6.74
1294,Aluminum_6061,0.194,250.4,0.477,0.2,30.7,6.341
1295,Aluminum_6061,0.206,278.7,0.69,0.8,54.0,2.472
1296,Aluminum_6061,0.22,225.0,1.329,0.4,11.3,3.979
1297,Aluminum_6061,0.093,347.4,0.529,0.2,6.6,1.065
1298,Carbon_Steel_1045,0.125,122.4,2.819,0.2,11.8,3.399
1299,Carbon_Steel_1045,0.375,128.7,2.044,1.2,4.7,4.84
1300,Stainless_304,0.225,77.8,0.511,0.4,58.8,12.9
1301,Carbon_Steel_1045,0.147,216.2,2.417,0.2,7.4,4.39
1302,Stainless_304,0.303,234.0,1.263,0.2,12.1,24.083
1303,Stainless_304,0.39,267.8,0.923,0.8,48.6,14.016
1304,Stainless_304,0.166,150.6,1.817,1.2,14.8,1.395
1305,Stainless_304,0.422,53.7,0.287,0.4,13.3,30.809
1306,Aluminum_6061,0.467,239.7,1.53,0.2,40.3,53.745
1307,Aluminum_6061,0.319,349.6,2.57,0.4,23.9,8.05
1308,Aluminum_6061,0.351,138.4,2.802,0.8,50.1,9.194
1309,Carbon_Steel_1045,0.074,105.2,1.192,0.2,38.3,1.669
1310,Carbon_Steel_1045,0.475,134.5,2.017,0.4,17.3,29.147
1311,Aluminum_6061,0.227,177.6,0.874,0.2,35.9,12.261
1312,Stainless_304,0.466,125.3,1.791,0.4,52.0,48.266
1313,Stainless_304,0.311,154.1,0.949,0.2,21.9,33.888
1314,Carbon_Steel_1045,0.052,241.5,1.821,0.2,44.2,0.717
1315,Carbon_Steel_1045,0.067,153.5,0.722,0.2,24.9,1.132
1316,Aluminum_6061,0.356,168.8,2.838,0.8,32.6,7.25
1317,Carbon_Steel_1045,0.303,62.0,2.689,0.4,44.0,17.625
1318,Aluminum_6061,0.062,325.4,1.177,1.2,3.6,0.082
1319,Carbon_Steel_1045,0.385,172.1,2.386,0.4,27.3,20.611
1320,Aluminum_6061,0.433,148.4,0.513,0.2,5.7,33.163
1321,Aluminum_6061,0.273,75.9,2.286,0.2,43.5,20.046
1322,Carbon_Steel_1045,0.26,240.3,1.027,1.2,36.5,2.984
1323,Carbon_Steel_1045,0.052,309.1,0.623,0.8,19.6,0.153
1324,Carbon_Steel_1045,0.404,62.3,2.115,0.4,4.6,19.062
1325,Stainless_304,0.199,93.6,1.542,0.8,55.5,5.58
1326,Aluminum_6061,0.445,93.9,1.708,0.8,18.9,10.146
1327,Stainless_304,0.218,230.7,1.681,0.2,16.5,13.924
1328,Aluminum_6061,0.304,326.4,0.413,0.8,6.1,2.942
1329,Aluminum_6061,0.172,181.3,0.391,0.2,34.6,6.208
1330,Stainless_304,0.122,153.1,1.903,0.2,15.9,4.769
1331,Carbon_Steel_1045,0.399,279.8,1.966,0.8,50.6,12.747
